,rand_100_00,rand_100_01,rand_100_02,rand_100_03,rand_100_04,rand_100_05,rand_100_06,rand_100_07,rand_100_08,rand_100_09,rand_100_10,rand_100_11,rand_100_12,rand_100_13,rand_100_14,rand_100_15,rand_100_16,rand_100_17,rand_100_18,rand_100_19,rand_100_20,rand_100_21,rand_100_22,rand_100_23,rand_100_24,rand_100_25,rand_100_26,rand_100_27,rand_100_28,rand_100_29,rand_100_30,rand_100_31,rand_100_32,rand_100_33,rand_100_34,rand_100_35,rand_100_36,rand_100_37,rand_100_38,rand_100_39,rand_100_40,rand_100_41,rand_100_42,rand_100_43,rand_100_44,rand_100_45,rand_100_46,rand_100_47,rand_100_48,rand_100_49
42,47.0,41.0,44.0,45.0,46.0,45.0,46.0,42.0,48.0,48.0,40.0,42.0,45.0,46.0,46.0,47.0,45.0,48.0,46.0,48.0,48.0,44.0,44.0,48.0,43.0,49.0,43.0,47.0,46.0,47.0,45.0,44.0,43.0,48.0,45.0,49.0,43.0,46.0,46.0,46.0,49.0,45.0,47.0,47.0,46.0,45.0,42.0,45.0,46.0,46.0
43,48.0,41.0,44.0,46.0,48.0,47.0,47.0,43.0,48.0,49.0,41.0,43.0,46.0,46.0,46.0,47.0,45.0,48.0,46.0,48.0,49.0,44.0,45.0,48.0,44.0,49.0,43.0,47.0,47.0,48.0,46.0,44.0,43.0,49.0,45.0,49.0,43.0,46.0,46.0,46.0,49.0,45.0,47.0,47.0,46.0,46.0,43.0,45.0,46.0,46.0
44,48.0,41.0,46.0,46.0,48.0,47.0,47.0,43.0,48.0,49.0,41.0,43.0,46.0,47.0,46.0,47.0,45.0,48.0,46.0,48.0,49.0,44.0,45.0,49.0,44.0,49.0,43.0,48.0,47.0,48.0,46.0,45.0,44.0,49.0,46.0,49.0,43.0,46.0,47.0,46.0,49.0,46.0,47.0,47.0,47.0,46.0,43.0,46.0,47.0,47.0
45,48.0,42.0,46.0,46.0,48.0,47.0,48.0,43.0,49.0,49.0,41.0,44.0,46.0,47.0,47.0,47.0,46.0,48.0,47.0,49.0,49.0,46.0,45.0,49.0,45.0,49.0,44.0,49.0,47.0,48.0,46.0,45.0,44.0,49.0,47.0,49.0,44.0,47.0,47.0,46.0,49.0,46.0,48.0,47.0,47.0,46.0,43.0,46.0,47.0,48.0
46,49.0,43.0,46.0,47.0,48.0,47.0,48.0,44.0,49.0,49.0,42.0,45.0,46.0,47.0,47.0,48.0,46.0,48.0,47.0,49.0,49.0,46.0,46.0,49.0,45.0,49.0,44.0,49.0,47.0,49.0,46.0,46.0,46.0,49.0,47.0,49.0,46.0,47.0,48.0,46.0,49.0,47.0,48.0,48.0,47.0,46.0,44.0,46.0,47.0,48.0
47,49.0,44.0,46.0,47.0,48.0,47.0,49.0,45.0,49.0,49.0,42.0,45.0,46.0,47.0,47.0,48.0,46.0,49.0,47.0,49.0,49.0,46.0,46.0,49.0,45.0,50.0,45.0,50.0,48.0,49.0,47.0,46.0,46.0,49.0,47.0,50.0,46.0,48.0,48.0,47.0,49.0,47.0,48.0,48.0,47.0,47.0,45.0,46.0,47.0,48.0
48,50.0,44.0,47.0,47.0,48.0,48.0,49.0,45.0,49.0,49.0,42.0,46.0,47.0,48.0,47.0,48.0,47.0,49.0,48.0,49.0,49.0,46.0,47.0,49.0,47.0,50.0,45.0,50.0,49.0,49.0,47.0,46.0,46.0,50.0,47.0,50.0,46.0,48.0,49.0,47.0,49.0,48.0,48.0,48.0,48.0,47.0,45.0,46.0,47.0,48.0
49,50.0,45.0,47.0,48.0,49.0,48.0,50.0,46.0,49.0,50.0,44.0,46.0,47.0,48.0,47.0,49.0,47.0,49.0,48.0,49.0,50.0,47.0,47.0,50.0,47.0,50.0,45.0,50.0,49.0,49.0,47.0,47.0,46.0,50.0,48.0,50.0,47.0,48.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0,47.0,46.0,46.0,48.0,48.0
50,50.0,46.0,47.0,49.0,49.0,48.0,50.0,46.0,50.0,50.0,44.0,46.0,47.0,48.0,48.0,49.0,47.0,49.0,48.0,50.0,50.0,47.0,48.0,50.0,47.0,50.0,46.0,50.0,50.0,49.0,47.0,48.0,47.0,50.0,48.0,50.0,48.0,48.0,49.0,48.0,49.0,49.0,48.0,48.0,48.0,47.0,47.0,47.0,48.0,49.0
51,51.0,46.0,48.0,49.0,49.0,48.0,50.0,47.0,50.0,50.0,45.0,48.0,47.0,49.0,48.0,49.0,47.0,50.0,48.0,50.0,50.0,47.0,48.0,50.0,47.0,50.0,47.0,50.0,50.0,50.0,47.0,48.0,47.0,50.0,49.0,50.0,48.0,49.0,49.0,48.0,49.0,49.0,48.0,48.0,49.0,48.0,47.0,47.0,49.0,49.0
